date,time,open,high,low,close,volumn
20200722,1600,12325,12339,12284,12292,3676
20200722,1700,12291,12296,12270,12283,2742
20200722,1800,12283,12300,12272,12297,1550
20200722,1900,12297,12309,12291,12307,1030
20200722,2000,12306,12316,12303,12305,884
20200722,2100,12305,12314,12294,12307,1119
20200722,2200,12307,12312,12283,12308,2577
20200722,2300,12307,12313,12274,12286,2297
20200723,0000,12287,12295,12273,12288,1421
20200723,0100,12287,12301,12281,12289,677
20200723,0200,12289,12291,12272,12273,548
20200723,0300,12272,12290,12263,12284,708
20200723,0400,12283,12327,12283,12318,1126
20200723,0500,12318,12330,12315,12327,698
20200723,0945,12327,12327,12228,12286,23923
20200723,1045,12287,12303,12199,12228,16030
20200723,1145,12228,12283,12208,12280,10700
20200723,1245,12280,12282,12258,12275,3567
20200723,1345,12275,12299,12272,12288,7170
20200723,1600,12308,12325,12303,12314,2542
20200723,1700,12314,12321,12293,12293,1521
20200723,1800,12293,12303,12287,12295,906
20200723,1900,12295,12304,12291,12297,497
20200723,2000,12296,12300,12271,12283,922
20200723,2100,12283,12283,12263,12263,1421
20200723,2200,12262,12277,12253,12274,2336
20200723,2300,12274,12278,12255,12269,2099
20200724,0000,12268,12289,12258,12276,1641
20200724,0100,12277,12279,12230,12240,2663
20200724,0200,12240,12247,12201,12209,1953
20200724,0300,12211,12211,12150,12184,3286
20200724,0400,12183,12199,12177,12197,1141
20200724,0500,12196,12223,12185,12215,1002
20200724,0945,12212,12335,12212,12312,24467
20200724,1045,12313,12352,12273,12322,12808
20200724,1145,12322,12327,12186,12195,17465
20200724,1245,12194,12216,12123,12214,19193
20200724,1345,12213,12218,12136,12150,11841
20200724,1600,12150,12158,12103,12139,3879
20200724,1700,12140,12167,12133,12160,2220
20200724,1800,12161,12175,12148,12169,1243
20200724,1900,12170,12172,12156,12162,943
20200724,2000,12162,12180,12160,12171,1035
20200724,2100,12171,12178,12167,12173,689
20200724,2200,12173,12292,12167,12283,8796
20200724,2300,12283,12410,12272,12355,10114
20200725,0000,12354,12365,12327,12359,3787
20200725,0100,12359,12366,12337,12348,1629
20200725,0200,12348,12358,12339,12353,872
20200725,0300,12354,12355,12331,12342,1068
20200725,0400,12342,12347,12324,12345,821
20200725,0500,12345,12363,12339,12363,758
20200727,0945,12360,12572,12360,12486,36158
20200727,1045,12485,12531,12458,12491,11292
20200727,1145,12491,12525,12483,12516,7276
20200727,1245,12516,12520,12464,12486,6828
20200727,1345,12487,12503,12463,12503,8652
20200727,1600,12519,12520,12481,12501,2275
20200727,1700,12501,12587,12501,12558,4531
20200727,1800,12558,12579,12554,12568,1297
20200727,1900,12568,12575,12561,12568,527
20200727,2000,12567,12583,12561,12582,818
20200727,2100,12581,12604,12567,12602,1607
20200727,2200,12603,12670,12588,12656,8878
20200727,2300,12656,12716,12650,12708,4656
20200728,0000,12708,12721,12683,12708,3512
20200728,0100,12706,12749,12706,12748,2388
20200728,0200,12748,12782,12748,12775,1707
20200728,0300,12776,12789,12762,12781,910
20200728,0400,12782,12798,12769,12796,842
20200728,0500,12795,12804,12781,12804,950
20200728,0945,12803,12900,12675,12684,43172
20200728,1045,12684,12726,12555,12590,32372
20200728,1145,12591,12593,12428,12429,20830
20200728,1245,12429,12543,12408,12453,15493
20200728,1345,12454,12499,12430,12457,10945
20200728,1600,12458,12512,12451,12494,3824
20200728,1700,12494,12508,12481,12504,1224
20200728,1800,12504,12505,12465,12476,1256
20200728,1900,12475,12489,12454,12486,1373
20200728,2000,12485,12487,12464,12469,869
20200728,2100,12469,12531,12468,12526,1943
20200728,2200,12525,12537,12352,12378,9356
20200728,2300,12378,12408,12362,12378,4465
20200729,0000,12378,12408,12364,12387,2164
20200729,0100,12388,12390,12370,12378,1002
20200729,0200,12376,12421,12376,12406,977
20200729,0300,12406,12414,12376,12385,565
20200729,0400,12385,12385,12322,12326,1418
20200729,0500,12326,12486,12324,12392,1476
20200729,0945,12391,12485,12391,12437,23981
20200729,1045,12437,12529,12433,12489,14019
20200729,1145,12489,12543,12463,12489,10349
20200729,1245,12490,12502,12460,12476,6961
20200729,1345,12476,12476,12413,12423,13865
20200729,1600,12400,12405,12386,12400,26
20200729,1700,12394,12399,12387,12390,14
20200729,1800,12392,12392,12385,12392,3
20200729,1900,12390,12403,12390,12394,4
20200729,2000,12394,12396,12393,12396,1
